Company Name,Website,City,Country,Founded Year,Total Funding (EUR),Latest Round Type,Latest Round Date
4Moving Biotech,https://www.4movingbiotech.com,Lille,France,,12,Series B,
Advanced Machine Intelligence,https://amilabs.xyz/,Paris,France,,890,Seed,
Aerix Systems,https://www.aerix-systems.com/,Mérignac,France,,5,Seed,
Alan,https://alan.com/en,Paris,France,,100,Growth,
Albupad,https://albupad.fr/,Strasbourg,France,,1,Pre-Seed,
Alpa,http://www.getalpa.com/,London,UK,,2,Pre-Seed,
Anemon,https://anemon.co,Lannion,France,,0,Seed,
Annette,https://www.annette.care/,Paris,France,,2,,
Apmonia Therapeutics,https://apmonia-therapeutics.com/,Reims,France,,10,Series A,
Arcads.ai,https://www.arcads.ai,Paris,France,,14,Seed,
Archimed,https://www.archimed.fr,Lille,France,,3,Seed,
Argon & Co,https://www.argonandco.com,Levallois-Perret,France,,0,Growth,
Arlequin AI,http://arlq.ai,Paris,France,,4,Seed,
Atlas V Group,https://atlasv.io/?ref=frenchtechjournal.com,Paris,France,,5,Series A,
Austral Dx,https://www.australdx.com,Marseille,France,,1,Seed,
Aviwell,https://www.aviwell.fr/?ref=frenchtechjournal.com,Toulouse,France,,11,Series A,
BARY,https://bary.ai,Paris,France,,0,Seed,
Basalt,https://getbasalt.ai/,,France,,4,Seed,
Bitstack,https://www.bitstack-app.com/en,Paris,France,,15,Series A,
Bobine,https://bobine-chemistry.com/,Lyon,France,,7,Series A,
BuyCo​,https://buyco.co,Marseille,France,,0,,
BW Ideol,https://www.bw-ideol.com/,La Ciotat,France,,,Growth,
C12,https://www.c12-quantum.com,Paris,France,,13,France 2030,
Calogena,https://calogena.com/,Aix-en-Provence,France,,52,Growth,
Carsup,https://www.carsup.io/,Paris,France,,7,Series A,
CCE Group,https://www.cc-equipment.com/,Paris,France,,0,Growth,
Cellura (formerly SoftCell Therapeutics),http://www.cellura.io/,Marseille,France,,0,Pre-Seed,
checkDPE,https://www.checkdpe.fr,Paris,France,,1,Seed,
ClearDrop,http://cleardrop.tech,Lille,France,,0,Pre-Seed,
ComicBot,http://m.me,Paris,France,,0,Seed,
Connektica,https://connektica.com,Toulouse,France,,3,Series A,
Cube (formerly Cube3),https://www.lecube.io/,Angers,France,,0,Seed,
CustomsBridge,https://www.customsbridge.fr,Nice,France,,2,Series A,
CWS (Computed Wing Sails),https://computedwingsail.com/en/,Montoir-de-Bretagne,France,,12,Series A,
Dalma​,https://www.dalma.co,Paris,France,,20,Series B,
Dark,https://www.dark-space.co,Paris,France,,9,Seed,
Daven,https://www.davenhr.com/,Paris,France,,1,Seed,
DejaBlue,http://dejablue.energy/,Paris,France,,5,Seed,
DentalMonitoring,https://dentalmonitoring.com,Paris,France,,84,Growth,
DermaScan,https://www.dermascan.fr/,Paris,France,,2,Seed,
Desk,https://desk.community/,Montpellier,France,,1,Seed,
Diago,https://www.diago.ai,Paris,France,,1,Seed,
Dialog,https://www.askdialog.com,Paris,France,,4,Seed,
Didask,https://www.didask.com,Bagnolet,France,,10,Growth,
Diffusely (ex-Meero),https://www.diffusely.com/,Paris,France,,11,Growth,
Dolphin Design (Dolphin Semiconductor),https://www.dolphin-design.fr,Meylan,France,,10,Series B,
DotBlocks,https://dotblocks.com/,Paris,France,,1,Pre-Seed,
Drive Innov,https://www.drive-innov.com/,Lyon,France,,1,Seed,
Dylogy,https://www.dylogy.com/,Lyon,France,,1,Seed,
ECAIR,https://www.ecair.eco/,Paris,France,,5,Seed,
Eclore,https://eclore-actuators.com,Nantes,France,,3,Seed,
Ecoat​,https://www.ecoat.fr,Grasse,France,,21,Series B,
Ecomer,https://ecomer-data.fr/,Nantes,France,,,Seed,
EG 427,https://www.eg427.com,Paris,France,,27,Series B,
Elmut,https://elmut.fr/,Paris,France,,3,Seed,
Elum Energy,https://elum-energy.com,Paris,France,,3,Growth,
Energy&+ (subsidiary of Charwood Energy),https://charwood.energy/,Rennes,France,,1,Crowdfunding,
Entent,https://entent.fr/,Aix-en-Provence,France,,2,Seed,
Epsor,https://www.epsor.fr,Paris,France,,16,Series A,
Escape,https://escape.tech/,Paris,France,,15,Series A,
Evera​,https://www.evera.co,Paris,France,,2,Seed,
Ewake,https://www.ewake.ai/,Paris,France,,2,Pre-Seed,
Fabriq,http://fabriq.tech,Paris,France,,22,Series A,
Faks,http://faks.co,Paris,France,,6,Seed,
Feedgy,https://www.feedgy.solar,Paris,France,,1,Growth,
Ficha,https://ficha.fr/en/,Lyon,France,,2,Seed,
Filigran,https://filigran.io,Paris,France,,58,Series C,
Firecell,https://firecell.io/,Nice,France,,7,Growth,
Formance,https://www.formance.com,Paris,France,,19,Series A,
Formel AI,https://formel.ai/,Paris,France,,,Pre-Seed,
fxhash,https://www.fxhash.xyz/,Le Monastier-sur-Gazeille,France,,,Series A,
Genial,https://www.wearegenial.com/,Bordeaux,France,,1,Seed,
GeodAlsics,http://geodaisics.com/,La Tronche,France,,5,Series A,
Geolinks Services,https://geolinks-services.com/,Paris,France,,3,Seed,
Getinside,https://www.getinside.fr,Toulouse,France,,3,Seed,
GetMint,https://getmint.ai/,Paris,France,,4,Pre-Seed,
GetVocal,https://www.getvocal.ai/,Paris,France,,22,Series A,
GetVocal,https://www.getvocal.ai/,Paris,France,,2,Seed,
GitGuardian,https://www.gitguardian.com,Paris,France,,42,Growth,
Gobano Robotics,https://gobano.ai/,Boulogne-Billancourt,France,,3,Pre-Seed,
GoCanopy,https://www.gocanopy.tech/?ref=frenchtechjournal.com,Paris,France,,2,Seed,
Goliaths.io,https://goliaths.io,Paris,France,,3,Seed,
Goud,https://www.goudsante.fr/,Nantes,France,,1,Seed,
Grace,https://grace.io/,Paris,France,,5,Seed,
Greez,https://greez.fr,Chartres,France,,0,Pre-Seed,
Groupe Akacia,https://groupe-akacia.fr/,Dijon,France,,8,Growth,
H’ability,https://www.h-ability.fr,Lyon,France,,1,Seed,
HappyVore,https://happyvore.com,Paris,France,,2,Seed,
Heliup,https://www.heliup-solar.com/,Le Bourget-du-Lac,France,,16,Growth,
Hoora,https://www.hooragames.com,Paris,France,,1,Seed,
Hopia,https://hopia.eu/,Paris,France,,3,Seed,
hummingbirds,https://hummingbirds.eu/,Paris,France,,5,Seed,
HyPrSpace,https://hypr-space.com/,Bordeaux,France,,21,Series A,
Ilion Water Technologies,https://ilion-watertech.com/,Paris,France,,3,Seed,
Inflowpay,https://inflowpay.com,Paris,France,,1,Seed,
Inicio,https://www.go-inicio.com,Paris,France,,4,Seed,
Initiativ,https://takeinitiativ.com/,Paris,France,,0,Seed,
Innerskin,https://www.innerskin.com,Paris,France,,12,Growth,
ISYBOT,https://www.isybot.com,Paris,France,,7,Series A,
Jay & Joy,https://www.jay-joy.com/,Lacroix-Saint-Ouen,France,,2,,
Jimmy Energy,https://www.jimmy-energy.eu/,Paris,France,,40,Growth,
Jint (formerly Mozzaik365),https://www.jint.ai,Paris,France,,1,Growth,
Jockiz,https://www.jockiz.com,Paris,France,,1,Seed,
Jool,https://www.jool.co/,Paris,France,,1,Seed,
Keria (formerly Cézam),https://keria.tech/,Bordeaux,France,,1,Seed,
Klaro,https://www.klaro.fr,Paris,France,,3,Seed,
